,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-01-01,0,1,1
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-01-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-02-01,0,0,0
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-02-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-02-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-02-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-02-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-02-01,1,0,1
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-02-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-03-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-03-01,2,1,3
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-03-01,0,1,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-03-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-04-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-04-01,2,0,2
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-04-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-04-01,0,2,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-05-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-05-01,1,0,1
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-05-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-05-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-05-01,7,0,7
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-06-01,7,0,7
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-06-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-06-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-06-01,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-06-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-06-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-07-01,5,2,7
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-07-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-07-01,1,2,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-07-01,1,0,1
