,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
ACHOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
ARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
ARBIETO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,0,2
ARQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
AYATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,3,1,4
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,3,4
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,7,1,8
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
CATACORA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,1,3
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,1,3
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,13,1,14
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,0,2
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,1,3
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,9,3,12
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,6,2,8
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,1,3
GUAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
HUACARETA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,2,2
IXIAMAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,4,0,4
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,10,2,12
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,4,1,5
