,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
AIQUILE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,1,2
ARANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
ARBIETO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,0,2
ARQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
AYATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,2,3
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,6,1,7
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,1,2
CHALLAPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,1,3
CHUMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,23,8,31
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,0,2
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,1,2
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,8,8,16
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,6,2,8
GENERAL SAAVEDRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,2,2
HUACARETA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,3,3
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,3,0,3
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,10,2,12
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,1,2
