,group,variable,month,Nº DE PACIENTES MULTIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,Nº DE PACIENTES MULTIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-02-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-03-01,2,0,2
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-05-01,3,0,3
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-06-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-06-01,0,0,0
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-07-01,17,6,23
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-08-01,3,0,3
BUENA VISTA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-09-01,0,1,1
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-09-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-09-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-09-01,2,2,4
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-10-01,1,2,3
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-10-01,2,0,2
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-11-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-11-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-12-01,4,0,4
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-12-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-12-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2021-12-01,1,0,1
