,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,0,0,1
ANDAMARCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,0,0,1,1
BOYUIBE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,0,1
BUENA VISTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,0,1
CAMIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,1,0,2
CHAQUI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,3,0,0,1,4
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,1,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,14,16,1,0,31
COLQUECHACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,0,1,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,3,2,0,0,5
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,5,16,12,11,44
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,0,0,1
GUANAY,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,0,1,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,1,0,0,2
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,19,11,8,2,40
LURIBAY,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,0,0,1
MAIRANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,0,1,0,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,0,1
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,3,1,0,4
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,0,1,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,5,2,1,9
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,2,0,0,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,2,0,3
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,2,0,2,0,4
REYES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,0,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,3,2,0,6
SAN CARLOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,0,1,1,2
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,0,1
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,1,2
SAN LUCAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,0,0,1,1
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,38,47,2,2,89
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,1,0,0,2
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,2,0,0,2
SORATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,0,1
