,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,1,0,2,3
ACHOCALLA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,2,0,0,3
AIQUILE,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,2,1,0,2,5
ALTO BENI,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,0,0,0,1
ANTEQUERA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,1,0,0,2
ANZALDO,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,1,1,0,2
APOLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,0,0,1,2
ARANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,0,0,0,1
ARBIETO,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,3,1,0,4
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,2,0,0,2
AYATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,1,1,1,3
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,0,0,2,2
AZURDUY,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,0,1,0,1
BATALLAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,2,0,0,2
BERMEJO,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,1,0,1,2
BETANZOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,2,0,0,2
BOYUIBE,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,0,1,0,2
BUENA VISTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,2,7,4,5,18
CABEZAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,3,3,0,1,7
CAIROMA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,0,0,0,1
CAJUATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,1,0,0,1
CALAMARCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,0,0,1,1
CAMIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,6,6,0,0,12
CARACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,2,0,0,2
CARAPARI,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,1,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,11,9,0,1,21
CHAQUI,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,3,1,0,2,6
CHARAGUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,2,0,0,0,2
CHAYANTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,2,0,0,3
CHIMORE,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,5,5,2,0,12
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,1,3,0,4
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,0,0,1,1
CKOCHAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,0,0,1,0,1
CLIZA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,4,0,1,1,6
COBIJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,5,2,9,0,16
COCAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,1,0,2,4
COCHABAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,143,136,24,21,324
COLCAPIRHUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,8,5,1,2,16
COLOMI,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,2,2,0,0,4
COLPA BELGICA,vacunacion en ninos de 4 anos,srp 2da. dosis,2020-01-01,1,0,0,0,1
