,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,5,0,0,6
ANDAMARCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,0,0,1,1
BUENA VISTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
CAMARGO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,2,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,1,0,2
CHIMORE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,9,3,1,2,15
COLOMI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,3,2,0,0,5
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,6,12,10,9,37
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
GUANAY,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
HUANUNI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,14,7,1,1,23
MINEROS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,2,0,0,0,2
MONTERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,4,1,0,5
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,7,2,1,11
PADCAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
PAILON,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,2,1,0,0,3
PORTACHUELO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,2,0,0,2
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,1,1,0,3
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,4,0,0,4
RAVELO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
REYES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,2,1,0,4
SAN BORJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,28,14,5,6,53
SAN JULIAN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,61,60,2,2,125
SANTA ROSA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
SIPE SIPE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
SUCRE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,3,7,1,0,11
TARIJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
TIQUIPAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,2,0,2,0,4
TRINIDAD,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,2,1,0,0,3
