,group,variable,month,PENTAVALENTE 5TA. DOSIS DENTRO,PENTAVALENTE 5TA. DOSIS DENTRO,PENTAVALENTE 5TA. DOSIS FUERA,PENTAVALENTE 5TA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,2,0,1,4
ACHACACHI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,14,4,1,28
ACHOCALLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,13,19,1,1,34
AIQUILE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,7,2,7,5,21
ALALAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,1,1,2
ALCALA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,1,0,0,4
ALTO BENI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,1,0,0,5
ANCORAIMES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,1,1,3
ANDAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,1,1,3
ANTEQUERA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,3,0,0,6
ANZALDO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,2,1,1,6
APOLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,6,8,5,28
ARAMPAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,3,1,4
ARANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,3,2,1,8
ARBIETO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,14,9,2,34
ARQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,4,4,5,16
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,23,22,0,0,45
ATOCHA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,3,1,2,10
AUCAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,1,1,2
AYATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,3,6,2,11
AYO AYO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,5,5,9,23
AZURDUY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,2,3,1,8
BATALLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,6,2,1,13
BAURES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,2,0,0,2
BELLA FLOR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,0,1,1
BERMEJO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,15,1,2,22
BETANZOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,17,7,8,43
BOLIVAR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,0,0,1
BOLPEBRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,2,1,3
BOYUIBE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,1,1,4
BUENA VISTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,17,5,9,9,40
CABEZAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,8,0,3,22
CAIROMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,5,0,1,9
"CAIZA ""D""",vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,5,1,2,11
CAJUATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,5,0,3,13
CALACOTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,1,0,2
