,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,1,0,1,1,2
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,4,1,0,0,4,1,5
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,0,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,1,3,0,4,1,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,0,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,1,0,1,1,2,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,9,5,0,0,9,5,14
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,2,1,0,1,2,2,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,4,5,5,4,9,9,18
EL CHORO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
