,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,1,1,0,0,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,3,1,0,0,3,1,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,0,0,2,5,2,5,7
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,3,2,0,0,3,2,5
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,0,0,1,1,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,1,0,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,0,1,0,0,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,0,1,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,0,0,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,0,3,0,0,0,3,3
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,3,0,0,0,3,0,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,31,32,0,0,31,32,63
COLLANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,0,1,0,0,0,1,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2016-01-01,1,0,0,1,1,1,2
