,group,variable,month,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,0,3,1,4,1,7,8
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,8,4,2,0,10,4,14
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,5,4,0,1,5,5,10
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,10,3,1,2,11,5,16
ALALAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,0,1,0,1,0,2,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,2,0,2,0,4,0,4
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,5,6,0,1,5,7,12
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,9,8,1,1,10,9,19
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,2,3,5,2,7,5,12
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,2,1,1,0,3,1,4
APOLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,14,16,5,5,19,21,40
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis (1er. refuerzo),2016-01-01,1,0,6,12,7,12,19
