,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,0,11,8,11,8,19
AIQUILE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,0,1,1,1,1,2
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,1,0,0,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,4,4,3,2,7,6,13
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,1,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,3,2,3,2,6,4,10
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,5,3,2,5,7,12
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,7,8,0,0,7,8,15
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,9,11,0,0,9,11,20
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,2,0,2,1,4,5
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,4,5,1,1,5,6,11
COTOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,25,19,8,10,33,29,62
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,9,11,0,0,9,11,20
