,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,1,2,1,2,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,10,11,8,5,18,16,34
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,10,7,6,5,16,12,28
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,16,14,2,1,18,15,33
ALCALA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,5,0,0,4,5,9
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,12,15,3,0,15,15,30
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,2,1,4,5,6,11
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,0,1,0,2,2
APOLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,9,14,0,0,9,14,23
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,0,5,4,6,4,10
ARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,7,11,0,0,7,11,18
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,8,18,14,12,22,30,52
ARQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,1,1,3,4,4,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,35,29,6,1,41,30,71
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,6,0,1,4,7,11
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,3,0,0,0,3,3
