,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,2,1,0,1,2,2,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,3,1,0,0,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,0,0,1,1,1,1,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,0,0,1,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,0,0,1,2,1,2,3
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,0,0,1,1,1,1,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,1,1,0,0,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,0,0,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,1,1,0,0,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,5,1,1,1,6,2,8
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,1,2,3,3,4,5,9
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,1,0,0,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,2,1,0,0,2,1,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,14,15,1,1,15,16,31
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2016-01-01,0,1,0,0,0,1,1
