,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,1,2,1,2,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,14,11,7,5,21,16,37
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,15,7,6,6,21,13,34
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,16,14,2,1,18,15,33
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,5,0,0,4,5,9
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,12,15,3,0,15,15,30
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,5,1,2,6,7,13
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,2,0,0,0,2,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,2,0,0,0,2,2
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,8,14,0,0,8,14,22
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,0,5,4,6,4,10
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,11,0,0,7,11,18
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,8,18,14,12,22,30,52
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,6,1,4,5,10,15
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,30,27,6,1,36,28,64
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,15,12,1,4,16,16,32
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,3,0,0,0,3,3
