,group,variable,month,TOTAL 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTAL 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,14,0,14,0,14
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,3,0,3,0,3
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,2,2,2,2,4
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,9,0,9,0,9
"CAIZA ""D""",otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,8,0,8,0,8
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,0,1,0,1,1
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,23,11,23,11,34
COMARAPA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,2,0,2,0,2
COPACABANA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,8,0,8,0,8
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,30,22,30,22,52
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,9,0,9,0,9
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,14,0,14,0,14
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,3,1,3,1,4
FILADELFIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,0,1,0,1,1
HUACHACALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,5,0,5,0,5
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
HUMANATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,3,0,3,0,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,2,2,2,2,4
LA ASUNTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,7,0,7,0,7
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,12,0,12,0,12
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,49,1,49,1,50
LLICA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,20,0,20,0,20
MAGDALENA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,5,0,5,0,5
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,31,0,31,0,31
OMEREQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,3,0,3,0,3
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,30,0,30,0,30
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,6,0,6,0,6
PATACAMAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,0,26,0,26,26
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,23,0,23,0,23
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,6,0,6,0,6
SAIPINA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,2,0,2,0,2
SAMAIPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,6,0,6,0,6
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,6,0,6,0,6
SAN JOAQUIN,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,3,0,3,0,3
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,18,0,18,0,18
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,3,2,3,2,5
TACOBAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,5,0,5,0,5
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,21,0,21,0,21
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,2,0,2,0,2
TIPUANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,5,0,5,0,5
TOTORA(ORR),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,14,1,14,1,15
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,12,0,12,0,12
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,15,0,15,0,15
YUNCHARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-01-01,1,0,1,0,1
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,4,1,4,5
ACHOCALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,2,1,2,3
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,0,3,0,3,3
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,14,0,14,0,14
BOLPEBRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,0,2,0,2
"CAIZA ""D""",otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,4,0,4,0,4
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,0,2,0,2
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,0,1,0,1,1
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,19,0,19,0,19
COLOMI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,0,4,0,4,4
COLQUECHACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,5,0,5,0,5
COMARAPA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,4,0,4,0,4
CORIPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,0,2,0,2
CORQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,9,0,9,0,9
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,1,2,1,3
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,7,0,7,0,7
CUEVO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,31,29,31,29,60
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,4,0,4,0,4
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,20,0,20,0,20
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,3,0,3,0,3
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,17,2,17,19
HUACHACALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,5,0,5,0,5
