,group,variable,month,TOTAL 21.5 MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTAL 21.5 MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,6,0,6,6
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,0,4,0,4
ALCALA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,1,4,1,5
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,8,1,8,9
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,1,6,1,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,1,3,1,4
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,0,2,0,2
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,2,3,2,5
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,2,0,2,2
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,2,2,2,4
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,8,1,8,9
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,7,1,7,8
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,3,0,3,3
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,2,6,2,8
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,0,2,0,2
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,6,4,6,10
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,0,6,0,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,5,0,5,5
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,3,3,3,6
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,13,0,13,0,13
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,73,17,73,17,90
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,22,6,22,28
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,5,2,5,2,7
COLQUECHACA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,1,0,1,1
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,5,2,5,7
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,4,2,4,6
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,10,2,10,2,12
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,150,57,150,57,207
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,25,0,25,0,25
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,1,6,1,7
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,0,6,0,6
ESCOMA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,2,1,2,3
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,0,2,0,2
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,4,1,4,5
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,5,3,5,3,8
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,2,1,2,3
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,9,2,9,2,11
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,120,6,120,6,126
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,3,1,3,4
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
LAS CARRERAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
LICOMA PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,2,0,2,2
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,0,4,0,4
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,5,0,5,0,5
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,1,2,1,3
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,32,12,32,12,44
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,35,1,35,1,36
OCURI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
OKINAWA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,4,0,4,4
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,47,1,47,1,48
PADCAYA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,0,2,0,2
PADILLA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,9,0,9,9
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,8,0,8,8
PAZÑA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
PELECHUCO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
POCONA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,5,0,5,0,5
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,15,3,15,18
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,1,6,1,7
PORVENIR,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,1,0,1,1
POSTRER VALLE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,0,2,0,2
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,13,0,13,0,13
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,2,0,2,2
PUERTO GONZALO MORENO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
