,group,variable,month,TOTAL 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTAL 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,17,16,17,16,33
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,27,68,27,68,95
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,24,6,24,6,30
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,11,39,11,39,50
ALALAY,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,2,2,2,4
ALCALA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,14,16,14,16,30
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,25,10,25,10,35
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,7,4,7,4,11
ANTEQUERA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,0,1,0,1
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,12,2,12,14
APOLO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,22,9,22,9,31
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,10,16,10,16,26
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,15,0,15,0,15
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,20,26,20,26,46
ARQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,1,5,1,6
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,75,2,75,2,77
ATOCHA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,21,3,21,3,24
AUCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,2,2,2,4
AYATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,0,8,0,8
AYO AYO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,6,9,6,9,15
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,27,20,27,20,47
AZURDUY,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,7,8,7,8,15
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,12,8,12,20
BAURES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,1,8,1,9
BELEN DE ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,1,3,1,4
BELLA FLOR,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,77,13,77,13,90
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,33,24,33,24,57
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,5,3,5,8
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,6,0,6,0,6
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,6,7,6,7,13
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,23,2,23,2,25
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,57,101,57,101,158
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,5,1,5,6
"CAIZA ""D""",otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,20,0,20,0,20
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,16,3,16,3,19
CALACOTO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,5,3,5,8
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,18,8,18,8,26
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,17,5,17,5,22
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,63,6,63,6,69
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,11,7,11,7,18
CAQUIAVIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,9,3,9,12
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,33,9,33,9,42
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,89,10,89,10,99
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,39,3,39,3,42
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,4,2,4,6
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,12,1,12,1,13
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,48,16,48,16,64
CHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,29,10,29,10,39
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,24,11,24,11,35
CHARAÑA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,0,4,0,4
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,54,36,54,36,90
CHIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,0,5,0,5
CHOQUE COTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,0,4,0,4
CHUA COCANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,50,4,50,54
CHUMA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,16,19,16,19,35
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,12,6,12,6,18
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,5,5,5,10
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,27,41,27,41,68
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,172,32,172,32,204
COCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,9,22,9,22,31
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,932,283,932,283,1215
COIPASA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,0,1,0,1,1
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,72,148,72,148,220
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,21,8,21,8,29
COLLANA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,0,1,0,1
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,20,5,20,5,25
COLPA BELGICA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,15,0,15,0,15
COLQUECHACA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,40,56,40,56,96
COLQUENCHA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,11,0,11,0,11
COLQUIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,15,13,15,13,28
COMANCHE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,11,1,11,1,12
COMBAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,0,2,0,2,2
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,41,18,41,18,59
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,1,5,1,6
CORIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,19,0,19,0,19
COROICO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,7,0,7,0,7
CORQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,5,3,5,8
