,group,variable,month,TOTAL 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTAL 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,4,7,4,11
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,12,7,12,19
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,17,0,17,0,17
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,13,13,13,13,26
ALCALA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
ALTO BENI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,52,2,52,54
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,7,7,7,14
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,7,0,7,7
APOLO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,15,6,15,6,21
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,16,0,16,16
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,6,0,6,0,6
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,24,4,24,28
ARQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,6,1,6,1,7
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,47,4,47,4,51
ATOCHA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,10,7,10,17
AYATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,2,5,2,7
AYO AYO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,11,0,11,0,11
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,12,12,12,12,24
AZURDUY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,7,5,7,12
BAURES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,15,3,15,3,18
BELLA FLOR,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,46,3,46,3,49
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,18,5,18,5,23
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,3,1,3,4
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,0,3,0,3
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,3,3,3,6
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,17,5,17,5,22
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,37,207,37,207,244
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,8,9,8,9,17
"CAIZA ""D""",otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,10,0,10,0,10
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,8,2,8,2,10
CALACOTO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,4,3,4,7
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,15,6,15,6,21
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,5,4,5,9
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,23,7,23,7,30
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,3,7,3,10
CAQUIAVIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,0,4,0,4
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,16,12,16,12,28
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,55,1,55,1,56
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,25,0,25,0,25
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,4,5,4,9
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,0,9,0,9
CATACORA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,26,8,26,8,34
CHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,0,3,0,3
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,27,5,27,5,32
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,19,20,19,20,39
CHUA COCANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,24,2,24,26
CHUMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,0,9,0,9
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,2,5,2,7
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,22,5,22,27
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,29,16,29,16,45
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,101,24,101,24,125
COCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,15,0,15,0,15
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,571,146,571,146,717
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,47,57,47,57,104
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,5,9,5,14
COLLANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,0,5,0,5
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,19,4,19,4,23
COLPA BELGICA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,13,0,13,0,13
COLQUECHACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,18,9,18,27
COLQUENCHA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,0,4,0,4
COLQUIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,5,0,5,5
COMANCHE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,12,0,12,0,12
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,23,6,23,6,29
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,4,5,4,9
CORIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,12,0,12,0,12
COROICO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,0,9,0,9
CORQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,8,5,8,13
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,22,11,22,11,33
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,119,18,119,18,137
CRUZ DE MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,3,0,3,3
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,14,10,14,10,24
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,1,3,1,4
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,7,9,7,16
CURAHUARA DE CARANGAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,0,3,0,3
CURVA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,2,1,2,3
DESAGUADERO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,1,2,1,3
