,group,variable,month,TOTAL 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTAL 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,otras vacunaciones,      antirrabica en humano,2014-01-01,10,0,10,0,10
ANCORAIMES,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
ANZALDO,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en humano,2014-01-01,6,0,6,0,6
BERMEJO,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
CAJUATA,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      antirrabica en humano,2014-01-01,26,0,26,0,26
CARAPARI,otras vacunaciones,      antirrabica en humano,2014-01-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-01-01,14,0,14,0,14
CLIZA,otras vacunaciones,      antirrabica en humano,2014-01-01,49,18,49,18,67
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-01-01,199,1,199,1,200
COLCAPIRHUA,otras vacunaciones,      antirrabica en humano,2014-01-01,3,0,3,0,3
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-01-01,10,0,10,0,10
COTOCA,otras vacunaciones,      antirrabica en humano,2014-01-01,88,0,88,0,88
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-01-01,5,0,5,0,5
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-01-01,1246,0,1246,0,1246
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-01-01,157,0,157,0,157
ESCOMA,otras vacunaciones,      antirrabica en humano,2014-01-01,2,0,2,0,2
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica en humano,2014-01-01,10,0,10,0,10
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica en humano,2014-01-01,15,0,15,0,15
GUANAY,otras vacunaciones,      antirrabica en humano,2014-01-01,2,0,2,0,2
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-01-01,5,0,5,0,5
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-01-01,228,6,228,6,234
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-01-01,258,0,258,0,258
MAIRANA,otras vacunaciones,      antirrabica en humano,2014-01-01,10,0,10,0,10
MINEROS,otras vacunaciones,      antirrabica en humano,2014-01-01,22,0,22,0,22
MIZQUE,otras vacunaciones,      antirrabica en humano,2014-01-01,4,0,4,0,4
MONTERO,otras vacunaciones,      antirrabica en humano,2014-01-01,118,0,118,0,118
ORURO,otras vacunaciones,      antirrabica en humano,2014-01-01,91,0,91,0,91
PADILLA,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
PALOS BLANCOS,otras vacunaciones,      antirrabica en humano,2014-01-01,5,3,5,3,8
POCONA,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
PORONGO,otras vacunaciones,      antirrabica en humano,2014-01-01,0,36,0,36,36
POTOSI,otras vacunaciones,      antirrabica en humano,2014-01-01,250,0,250,0,250
PUERTO VILLARROEL,otras vacunaciones,      antirrabica en humano,2014-01-01,18,0,18,0,18
PUNATA,otras vacunaciones,      antirrabica en humano,2014-01-01,3,0,3,0,3
QUILLACOLLO,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
SACABA,otras vacunaciones,      antirrabica en humano,2014-01-01,7,0,7,0,7
SAIPINA,otras vacunaciones,      antirrabica en humano,2014-01-01,10,0,10,0,10
SALINAS DE GARCI MENDOZA,otras vacunaciones,      antirrabica en humano,2014-01-01,5,1,5,1,6
SAN BUENA VENTURA,otras vacunaciones,      antirrabica en humano,2014-01-01,13,0,13,0,13
SAN CARLOS,otras vacunaciones,      antirrabica en humano,2014-01-01,6,0,6,0,6
SAN IGNACIO,otras vacunaciones,      antirrabica en humano,2014-01-01,17,0,17,0,17
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-01-01,17,0,17,0,17
SAN JULIAN,otras vacunaciones,      antirrabica en humano,2014-01-01,48,0,48,0,48
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-01-01,61,0,61,0,61
SAN RAMON SCZ,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en humano,2014-01-01,2912,0,2912,0,2912
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en humano,2014-01-01,4,0,4,0,4
SORACACHI,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
SUCRE,otras vacunaciones,      antirrabica en humano,2014-01-01,590,0,590,0,590
TACOBAMBA,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
TARACO,otras vacunaciones,      antirrabica en humano,2014-01-01,11,0,11,0,11
TARATA,otras vacunaciones,      antirrabica en humano,2014-01-01,10,0,10,0,10
TARIJA,otras vacunaciones,      antirrabica en humano,2014-01-01,393,0,393,0,393
TIAWANACU,otras vacunaciones,      antirrabica en humano,2014-01-01,2,0,2,0,2
TIPUANI,otras vacunaciones,      antirrabica en humano,2014-01-01,8,0,8,0,8
TIQUIPAYA,otras vacunaciones,      antirrabica en humano,2014-01-01,10,0,10,0,10
UNCIA,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
UYUNI,otras vacunaciones,      antirrabica en humano,2014-01-01,50,0,50,0,50
VALLEGRANDE,otras vacunaciones,      antirrabica en humano,2014-01-01,127,0,127,0,127
VILLA MONTES,otras vacunaciones,      antirrabica en humano,2014-01-01,21,0,21,0,21
VILLA TUNARI,otras vacunaciones,      antirrabica en humano,2014-01-01,2,0,2,0,2
VILLAZON,otras vacunaciones,      antirrabica en humano,2014-01-01,4,0,4,0,4
WARNES,otras vacunaciones,      antirrabica en humano,2014-01-01,264,0,264,0,264
YACUIBA,otras vacunaciones,      antirrabica en humano,2014-01-01,48,0,48,0,48
YAPACANI,otras vacunaciones,      antirrabica en humano,2014-01-01,11,0,11,0,11
YUNCHARA,otras vacunaciones,      antirrabica en humano,2014-01-01,1,0,1,0,1
AIQUILE,otras vacunaciones,      antirrabica en humano,2014-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en humano,2014-02-01,38,0,38,0,38
BATALLAS,otras vacunaciones,      antirrabica en humano,2014-02-01,8,0,8,0,8
BERMEJO,otras vacunaciones,      antirrabica en humano,2014-02-01,7,0,7,0,7
BETANZOS,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,      antirrabica en humano,2014-02-01,24,0,24,0,24
CABEZAS,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
CAJUATA,otras vacunaciones,      antirrabica en humano,2014-02-01,2,0,2,0,2
CALAMARCA,otras vacunaciones,      antirrabica en humano,2014-02-01,7,0,7,0,7
CAMIRI,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
CLIZA,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
COCAPATA,otras vacunaciones,      antirrabica en humano,2014-02-01,0,1,0,1,1
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-02-01,218,0,218,0,218
COLCAPIRHUA,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-02-01,8,0,8,0,8
COPACABANA,otras vacunaciones,      antirrabica en humano,2014-02-01,0,3,0,3,3
COTAGAITA,otras vacunaciones,      antirrabica en humano,2014-02-01,7,0,7,0,7
COTOCA,otras vacunaciones,      antirrabica en humano,2014-02-01,122,0,122,0,122
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-02-01,48,0,48,0,48
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-02-01,1125,0,1125,0,1125
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-02-01,175,0,175,0,175
ESCOMA,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica en humano,2014-02-01,5,0,5,0,5
GUANAY,otras vacunaciones,      antirrabica en humano,2014-02-01,7,0,7,0,7
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-02-01,4,0,4,0,4
JESUS DE MACHACA,otras vacunaciones,      antirrabica en humano,2014-02-01,0,4,0,4,4
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-02-01,196,0,196,0,196
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-02-01,275,0,275,0,275
LAJA,otras vacunaciones,      antirrabica en humano,2014-02-01,0,8,0,8,8
MINEROS,otras vacunaciones,      antirrabica en humano,2014-02-01,0,1,0,1,1
MIZQUE,otras vacunaciones,      antirrabica en humano,2014-02-01,6,0,6,0,6
MONTERO,otras vacunaciones,      antirrabica en humano,2014-02-01,157,0,157,0,157
MORO MORO,otras vacunaciones,      antirrabica en humano,2014-02-01,12,0,12,0,12
OKINAWA,otras vacunaciones,      antirrabica en humano,2014-02-01,7,0,7,0,7
ORURO,otras vacunaciones,      antirrabica en humano,2014-02-01,24,0,24,0,24
POTOSI,otras vacunaciones,      antirrabica en humano,2014-02-01,271,0,271,0,271
PUCARANI,otras vacunaciones,      antirrabica en humano,2014-02-01,7,0,7,0,7
PUERTO SUAREZ,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
PUNA,otras vacunaciones,      antirrabica en humano,2014-02-01,10,0,10,0,10
PUNATA,otras vacunaciones,      antirrabica en humano,2014-02-01,4,0,4,0,4
SACABA,otras vacunaciones,      antirrabica en humano,2014-02-01,30,10,30,10,40
SAIPINA,otras vacunaciones,      antirrabica en humano,2014-02-01,5,0,5,0,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,      antirrabica en humano,2014-02-01,5,7,5,7,12
