,group,variable,month,TOTAL 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTAL 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,6,2,6,8
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,2,1,2,3
ALCALA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,1,1,1,2
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,2,0,2,2
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,16,2,16,18
ARQUE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,16,0,16,0,16
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,14,2,14,16
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,0,3,0,3
BAURES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,5,1,5,1,6
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,1,1,1,2
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,2,2,2,4
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,4,1,4,5
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,23,1,23,24
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,2,2,2,4
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,6,0,6,0,6
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,10,0,10,0,10
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,2,0,2,2
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,0,4,0,4
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,5,4,5,9
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,7,3,7,10
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,8,0,8,8
CHUMA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,5,0,5,0,5
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,5,4,5,9
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,10,1,10,1,11
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,116,10,116,10,126
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,12,20,12,20,32
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,5,1,5,1,6
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,7,0,7,0,7
COLQUECHACA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,2,3,2,5
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
COROICO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,5,3,5,3,8
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,17,10,17,10,27
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,0,3,0,3
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,0,3,0,3
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,300,142,300,142,442
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,1,1,1,2
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,53,5,53,5,58
EL VILLAR,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,1,3,1,4
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,1,4,1,5
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,5,0,5,0,5
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,0,3,0,3
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,3,0,3,3
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,1,1,1,2
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,19,0,19,0,19
GUTIERREZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,3,0,3,3
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,8,5,8,5,13
HUARACAJE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
ICLA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
IXIAMAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,16,5,16,5,21
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,187,10,187,10,197
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,5,0,5,5
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
LAS CARRERAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
LLALLAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,6,1,6,7
LORETO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,1,2,1,3
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,3,0,3,3
MACHARETI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,1,2,1,3
MAGDALENA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,0,4,0,4
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,0,3,0,3
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,11,0,11,0,11
