,group,variable,month,TOTAL 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTAL 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,10,2,10,12
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,3,3,3,6
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,40,5,40,45
ALTO BENI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,1,0,1,1
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,2,4,2,6
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,1,2,1,3
ANTEQUERA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,1,2,1,3
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,2,0,2,2
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,0,5,0,5
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,14,3,14,17
ARQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,3,3,3,6
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,27,1,27,1,28
ATOCHA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
AYATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,0,5,0,5
AYO AYO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,6,3,6,9
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,7,0,7,7
BAURES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,1,4,1,5
BELEN DE ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,18,1,18,1,19
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,41,7,41,7,48
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,3,3,3,6
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,6,6,6,12
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,26,80,26,80,106
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,3,0,3,3
"CAIZA ""D""",otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,2,5,2,7
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,3,5,3,8
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,12,4,12,4,16
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,0,6,0,6
CAQUIAVIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,3,5,3,8
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,24,0,24,0,24
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,3,4,3,7
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,7,3,7,3,10
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,0,4,0,4
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,1,6,1,7
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,4,6,4,10
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,10,29,10,29,39
CHUA COCANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,13,1,13,14
CHUMA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,1,4,1,5
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,41,3,41,3,44
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,19,16,19,16,35
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,46,6,46,6,52
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,355,79,355,79,434
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,26,31,26,31,57
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,11,8,11,8,19
COLLANA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,1,4,1,5
COLPA BELGICA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
COLQUECHACA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,2,1,2,3
COLQUIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,9,0,9,0,9
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,8,2,8,2,10
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,6,3,6,9
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,1,3,1,4
CORIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,9,0,9,0,9
CORO CORO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
COROICO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
CORQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,3,0,3,3
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,10,7,10,7,17
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,35,14,35,14,49
CRUZ DE MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,1,0,1,1
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,2,1,2,3
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,0,4,0,4
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,2,2,2,4
CURAHUARA DE CARANGAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,1,1,1,2
CURVA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,1,1,1,2
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,686,301,686,301,987
EL PUENTE(STC),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,1,3,1,4
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,4,2,4,6
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,35,9,35,9,44
EL VILLAR,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,1,1,1,2
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,8,21,8,21,29
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,18,6,18,6,24
ESCOMA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
EUCALIPTUS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
