,group,variable,month,TOTAL 2110 ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTAL 2110 ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,2,0,2,0,2
CARANAVI,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,25,0,25,0,25
COLCAPIRHUA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,3,0,3,0,3
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,8,0,8,0,8
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,7,0,7,0,7
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,100,0,100,0,100
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,47,0,47,0,47
GUANAY,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,13,0,13,0,13
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,83,0,83,0,83
LLALLAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,0,1,0,1,1
MAIRANA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,2,0,2,0,2
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,7,0,7,0,7
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,5,0,5,0,5
PADILLA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
PORONGO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,0,4,0,4,4
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,25,0,25,0,25
PUERTO VILLARROEL,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,2,0,2,0,2
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,4,0,4,0,4
SAN CARLOS,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,33,0,33,0,33
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,648,0,648,0,648
SIPE SIPE,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
SORACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,8,0,8,0,8
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,62,0,62,0,62
TARATA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
TARIJA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,16,0,16,0,16
TOLATA,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
UYUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,4,0,4,0,4
VACAS,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,4,0,4,0,4
VILLA MONTES,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,2,0,2,0,2
VILLA TUNARI,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,1,0,1,0,1
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,12,0,12,0,12
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-01-01,54,0,54,0,54
ARANI,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
ARBIETO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,0,2,0,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,4,0,4,0,4
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,6,0,6,0,6
BETANZOS,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,3,0,3,0,3
CABEZAS,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,5,0,5,0,5
CAMIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,2,0,2,0,2
CARACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,0,20,0,20,20
CLIZA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,25,0,25,0,25
COLCAPIRHUA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,9,0,9,0,9
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,107,0,107,0,107
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,7,0,7,0,7
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,17,0,17,0,17
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,87,0,87,0,87
LLALLAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,0,1,0,1,1
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,14,0,14,0,14
MORO MORO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
OKINAWA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,3,0,3,0,3
PALOS BLANCOS,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
POCONA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,27,0,27,0,27
PUERTO VILLARROEL,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,1,1,1,2
PUNA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,10,0,10,0,10
SAN LORENZO(TJA),otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,4,0,4,0,4
SAN PEDRO,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,7,0,7,0,7
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,222,0,222,0,222
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,33,0,33,0,33
TARIJA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,17,0,17,0,17
TRINIDAD,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,0,2,0,2,2
UNCIA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,6,0,6,0,6
VIACHA,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,3,0,3,0,3
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,12,0,12,0,12
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-02-01,12,0,12,0,12
ACHACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,0,1,0,1,1
ANTEQUERA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
