,group,variable,month,TOTAL 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTAL 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,5,1,5,6
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,2,0,2,0,2
ALTO BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,3,0,3,0,3
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,7,0,7,0,7
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,2,0,2,0,2
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,12,1,12,1,13
BOLPEBRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,3,0,3,0,3
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,18,3,18,3,21
"CAIZA ""D""",otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,4,0,4,0,4
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,0,103,0,103,103
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,7,0,7,0,7
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,29,0,29,0,29
COLOMI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,0,6,0,6,6
COMARAPA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,4,0,4,0,4
CORIPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,5,0,5,0,5
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,5,0,5,0,5
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,7,0,7,0,7
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,53,13,53,13,66
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,11,0,11,0,11
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,11,0,11,0,11
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,3,0,3,0,3
ESCOMA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,3,0,3,0,3
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,26,1,26,27
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
HUACHACALLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,3,0,3,0,3
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,5,0,5,0,5
IXIAMAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,3,0,3,0,3
LA ASUNTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,7,0,7,0,7
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,13,1,13,1,14
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,78,0,78,0,78
LURIBAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,2,0,2,0,2
MAIRANA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,12,2,12,2,14
OMEREQUE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,76,0,76,0,76
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,52,0,52,0,52
PAMPA GRANDE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,6,0,6,0,6
PATACAMAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,0,108,0,108,108
PORONGO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,40,0,40,0,40
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,44,0,44,0,44
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,16,0,16,0,16
SAMAIPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,5,0,5,0,5
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,17,4,17,4,21
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,8,0,8,0,8
SAN JOAQUIN,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,5,0,5,0,5
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,3,0,3,0,3
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,163,0,163,0,163
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
SICA SICA (VILLA AROMA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,2,0,2,0,2
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,11,4,11,4,15
TACOBAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,82,11,82,11,93
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,5,0,5,0,5
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,59,0,59,0,59
URIONDO (A. CONCEPCION),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,5,0,5,0,5
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,18,0,18,0,18
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,1,0,1,0,1
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,75,0,75,0,75
YANACACHI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-01-01,4,0,4,0,4
ACHOCALLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,0,1,0,1,1
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,20,0,20,0,20
BOLPEBRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
BOYUIBE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,4,0,4,0,4
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
"CAIZA ""D""",otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
CAQUIAVIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,5,0,5,0,5
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,9,4,9,4,13
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,41,0,41,0,41
COLQUECHACA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,7,0,7,0,7
COMARAPA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,9,0,9,0,9
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,4,0,4,0,4
CORQUE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,8,0,8,0,8
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,6,0,6,0,6
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,22,0,22,0,22
