municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,4,4
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,58,58
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,1,1
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,49,49
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,6,6
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,6,6
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,13,13
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,1,1
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,200,200
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,39,39
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,1,1
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,20,20
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,14,14
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,6,6
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,50,50
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,107,107
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,27,27
BOLIVAR,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,8,8
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,14,14
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,20,20
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,8,8
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,24,24
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,30,30
CALACOTO,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,1,1
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,9,9
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,105,105
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,285,285
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,47,47
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,2,2
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,32,32
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2018-01-01,148,148
