municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,310,310
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,31,31
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,372,372
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,124,124
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,124,124
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,62,62
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,31,31
APOLO,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,93,93
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,93,93
ARANI,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,152,152
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,121,121
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,341,341
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,401,401
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,31,31
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2018-01-01,772,772
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,381,381
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,93,93
BAURES,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,432,432
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,248,248
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,205,205
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,120,120
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,113,113
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2018-01-01,155,155
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,93,93
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,62,62
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2018-01-01,123,123
