,group,variable,month,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,6,6
ACHACACHI,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,81,81
ACHOCALLA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,1,1
AIQUILE,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,42,42
ALCALA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,7,7
ALTO BENI,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,2,2
ANCORAIMES,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,7,7
ANDAMARCA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,4,4
ANTEQUERA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,5,5
APOLO,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,14,14
ARBIETO,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,24,24
ASCENCION DE GUARAYOS,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,159,159
ATOCHA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,5,5
AYATA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,15,15
AZURDUY,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,14,14
BELLA FLOR,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,5,5
BERMEJO,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,53,53
BETANZOS,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,43,43
BOLPEBRA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,1,1
BOYUIBE,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,7,7
BUENA VISTA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,22,22
CABEZAS,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,51,51
"CAIZA ""D""",vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,10,10
CAJUATA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,4,4
CALAMARCA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,28,28
CAMARGO,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,36,36
CAMATAQUI (C. VILLA ABECIA),vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,8,8
CAMIRI,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,205,205
CAPINOTA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,51,51
CARACOLLO,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,31,31
CARANAVI,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,130,130
CARMEN RIVERO TORREZ,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,7,7
CHALLAPATA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,153,153
CHAQUI,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,10,10
CHARAGUA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,77,77
CHAYANTA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,10,10
CHIMORE,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,46,46
CHIPAYA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,4,4
CHUA COCANI,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,11,11
CHULUMANI (V. DE LA LIBERTAD),vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,52,52
CHUMA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,7,7
CHUQUIHUTA AYLLU JUCUMANI,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,1,1
CKOCHAS,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,14,14
CLIZA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,103,103
COBIJA,vih,no de mujeres embarazadas con prueba rapida,2017-01-01,0,167,167
