,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,vih,no de personas con prueba rapida,2017-01-01,0,3,3
ACHACACHI,vih,no de personas con prueba rapida,2017-01-01,3,37,40
AIQUILE,vih,no de personas con prueba rapida,2017-01-01,3,38,41
ALCALA,vih,no de personas con prueba rapida,2017-01-01,1,0,1
ANCORAIMES,vih,no de personas con prueba rapida,2017-01-01,1,0,1
ANDAMARCA,vih,no de personas con prueba rapida,2017-01-01,3,3,6
APOLO,vih,no de personas con prueba rapida,2017-01-01,2,0,2
ARBIETO,vih,no de personas con prueba rapida,2017-01-01,1,0,1
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2017-01-01,24,101,125
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2017-01-01,0,8,8
AZURDUY,vih,no de personas con prueba rapida,2017-01-01,0,14,14
BERMEJO,vih,no de personas con prueba rapida,2017-01-01,0,6,6
BETANZOS,vih,no de personas con prueba rapida,2017-01-01,1,0,1
BOYUIBE,vih,no de personas con prueba rapida,2017-01-01,1,1,2
CABEZAS,vih,no de personas con prueba rapida,2017-01-01,5,7,12
CAJUATA,vih,no de personas con prueba rapida,2017-01-01,1,0,1
CALAMARCA,vih,no de personas con prueba rapida,2017-01-01,8,4,12
CAMARGO,vih,no de personas con prueba rapida,2017-01-01,23,65,88
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2017-01-01,0,3,3
CAMIRI,vih,no de personas con prueba rapida,2017-01-01,18,25,43
CAPINOTA,vih,no de personas con prueba rapida,2017-01-01,5,12,17
CARACOLLO,vih,no de personas con prueba rapida,2017-01-01,2,2,4
CARANAVI,vih,no de personas con prueba rapida,2017-01-01,58,2,60
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2017-01-01,5,5,10
CHALLAPATA,vih,no de personas con prueba rapida,2017-01-01,6,154,160
CHAQUI,vih,no de personas con prueba rapida,2017-01-01,0,1,1
CHARAGUA,vih,no de personas con prueba rapida,2017-01-01,6,25,31
CHIMORE,vih,no de personas con prueba rapida,2017-01-01,26,27,53
CHUA COCANI,vih,no de personas con prueba rapida,2017-01-01,0,11,11
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2017-01-01,2,6,8
CHUMA,vih,no de personas con prueba rapida,2017-01-01,1,5,6
CKOCHAS,vih,no de personas con prueba rapida,2017-01-01,1,2,3
CLIZA,vih,no de personas con prueba rapida,2017-01-01,1,2,3
COBIJA,vih,no de personas con prueba rapida,2017-01-01,288,97,385
COCHABAMBA,vih,no de personas con prueba rapida,2017-01-01,221,344,565
COLCAPIRHUA,vih,no de personas con prueba rapida,2017-01-01,28,51,79
COLQUECHACA,vih,no de personas con prueba rapida,2017-01-01,0,5,5
COMARAPA,vih,no de personas con prueba rapida,2017-01-01,2,8,10
CONCEPCION,vih,no de personas con prueba rapida,2017-01-01,2,14,16
CORO CORO,vih,no de personas con prueba rapida,2017-01-01,3,2,5
COROICO,vih,no de personas con prueba rapida,2017-01-01,8,8,16
CORQUE,vih,no de personas con prueba rapida,2017-01-01,2,3,5
COTOCA,vih,no de personas con prueba rapida,2017-01-01,6,4,10
CRUZ DE MACHACAMARCA,vih,no de personas con prueba rapida,2017-01-01,2,4,6
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2017-01-01,8,8,16
CULPINA,vih,no de personas con prueba rapida,2017-01-01,2,63,65
DESAGUADERO,vih,no de personas con prueba rapida,2017-01-01,5,1,6
EL ALTO,vih,no de personas con prueba rapida,2017-01-01,269,905,1174
EL PUENTE(STC),vih,no de personas con prueba rapida,2017-01-01,21,22,43
EL PUENTE(TJA),vih,no de personas con prueba rapida,2017-01-01,0,1,1
EL TORNO,vih,no de personas con prueba rapida,2017-01-01,62,209,271
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2017-01-01,2,8,10
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2017-01-01,8,12,20
ESCOMA,vih,no de personas con prueba rapida,2017-01-01,5,0,5
EUCALIPTUS,vih,no de personas con prueba rapida,2017-01-01,1,0,1
