,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,0,0,3,1,0,0,0,0,4
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,1,0,6,0,24,2,1,0,0,0,34
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,5,0,15,0,2,0,0,0,22
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,1,1,8,0,4,0,0,0,14
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,1,0,0,1,0,0,0,0,2
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,2,0,10,0,1,0,0,0,13
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,2,0,6,0,2,0,0,0,10
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,0,0,2,0,0,0,0,0,2
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,1,0,1,0,0,0,0,0,2
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,0,0,4,0,1,0,0,0,5
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,2,1,7,0,2,1,0,0,13
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,1,0,0,0,0,0,0,0,1
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,2,0,6,0,0,0,0,0,8
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,1,0,4,0,13,0,4,0,0,0,22
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,4,0,4,0,3,0,0,0,11
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,4,0,38,0,2,0,0,0,44
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,1,0,7,1,0,0,0,0,9
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,0,0,5,0,0,0,0,0,5
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,0,0,2,1,1,0,0,0,4
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,3,1,6,0,1,0,0,0,11
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,7,0,10,0,3,0,0,0,20
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,2,2,5,4,4,2,0,0,19
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,2,0,7,1,1,0,0,0,11
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,0,0,5,0,1,0,0,0,6
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,0,1,0,0,0,0,0,0,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,2,0,2,0,0,0,0,0,4
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,5,0,38,0,5,0,0,0,48
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2021-01-01,0,0,1,3,18,3,2,1,0,0,28
