,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,3,0,3,0,2,0,0,0,8
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,6,0,27,0,6,0,0,0,39
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,8,0,22,0,6,0,0,0,36
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,5,0,13,0,2,0,0,0,20
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,1,0,0,0,0,0,0,0,1
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,1,0,1,0,0,0,0,0,2
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,1,0,7,0,1,0,0,0,9
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,0,0,4,0,0,0,0,0,4
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,0,0,2,0,0,0,0,0,2
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,1,0,0,0,0,0,0,0,1
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,2,0,4,0,2,0,0,0,8
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,4,1,10,0,6,1,0,0,22
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,0,1,0,3,0,1,0,0,5
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,4,0,5,1,0,0,0,0,10
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,1,0,1,0,11,0,1,0,0,0,14
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,7,1,8,0,6,0,0,0,22
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,5,0,14,0,0,0,0,0,19
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,2,0,9,1,0,0,0,0,12
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,0,0,2,1,0,0,0,0,3
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,1,0,5,0,2,0,0,0,8
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,4,0,4,0,2,0,0,0,10
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,6,0,20,0,2,0,1,0,29
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,3,0,9,2,1,1,0,0,16
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,2,0,9,0,1,0,0,0,12
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,1,0,4,0,0,0,0,0,5
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,1,0,0,0,0,1,0,0,2
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2021-01-01,0,0,1,0,4,0,0,0,0,0,5
