,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2021-01-01,0,1,3,1,10,3,3,1,0,0,22
ACHACACHI,consultas prenatales,repetidas,2021-01-01,2,0,32,2,140,4,17,0,0,0,197
ACHOCALLA,consultas prenatales,repetidas,2021-01-01,0,0,28,1,106,2,24,0,1,0,162
AIQUILE,consultas prenatales,repetidas,2021-01-01,0,0,14,2,74,2,16,2,0,0,110
ALALAY,consultas prenatales,repetidas,2021-01-01,0,0,1,0,3,0,0,0,0,0,4
ALCALA,consultas prenatales,repetidas,2021-01-01,0,0,1,0,8,2,1,0,0,0,12
ALTO BENI,consultas prenatales,repetidas,2021-01-01,1,0,10,0,35,0,10,0,0,0,56
ANCORAIMES,consultas prenatales,repetidas,2021-01-01,0,0,7,0,21,0,6,0,0,0,34
ANDAMARCA,consultas prenatales,repetidas,2021-01-01,0,0,5,0,5,1,0,0,0,0,11
ANTEQUERA,consultas prenatales,repetidas,2021-01-01,0,0,1,0,3,0,2,0,0,0,6
ANZALDO,consultas prenatales,repetidas,2021-01-01,0,0,6,1,13,3,5,0,0,0,28
APOLO,consultas prenatales,repetidas,2021-01-01,0,0,12,1,52,3,12,1,0,0,81
ARAMPAMPA,consultas prenatales,repetidas,2021-01-01,0,0,1,1,3,1,1,2,0,0,9
ARANI,consultas prenatales,repetidas,2021-01-01,0,0,9,0,32,0,2,0,0,0,43
ARBIETO,consultas prenatales,repetidas,2021-01-01,1,0,34,0,109,1,14,0,0,0,159
ARQUE,consultas prenatales,repetidas,2021-01-01,0,0,13,0,23,1,13,0,0,0,50
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2021-01-01,0,0,35,0,121,0,10,0,0,0,166
ATOCHA,consultas prenatales,repetidas,2021-01-01,0,0,4,0,32,1,5,0,0,0,42
AUCAPATA,consultas prenatales,repetidas,2021-01-01,0,0,10,0,24,0,2,0,0,0,36
AYATA,consultas prenatales,repetidas,2021-01-01,0,0,3,0,19,1,1,0,0,0,24
AYO AYO,consultas prenatales,repetidas,2021-01-01,0,0,3,1,21,3,3,0,0,0,31
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2021-01-01,3,0,24,1,62,0,26,1,1,0,118
AZURDUY,consultas prenatales,repetidas,2021-01-01,0,1,9,6,30,11,9,6,0,0,72
BATALLAS,consultas prenatales,repetidas,2021-01-01,1,0,7,0,49,3,8,0,0,0,68
BAURES,consultas prenatales,repetidas,2021-01-01,0,0,1,0,8,0,1,0,0,0,10
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2021-01-01,0,0,0,1,1,1,0,0,0,0,3
BELEN DE URMIRI,consultas prenatales,repetidas,2021-01-01,0,0,1,0,1,2,1,0,0,0,5
BELLA FLOR,consultas prenatales,repetidas,2021-01-01,1,2,6,0,4,0,3,2,0,0,18
BERMEJO,consultas prenatales,repetidas,2021-01-01,0,0,22,0,139,0,27,0,0,0,188
BETANZOS,consultas prenatales,repetidas,2021-01-01,2,0,32,4,98,16,20,3,0,0,175
BOLIVAR,consultas prenatales,repetidas,2021-01-01,0,0,1,1,10,4,2,0,0,0,18
BOLPEBRA,consultas prenatales,repetidas,2021-01-01,0,0,1,0,4,0,0,0,0,0,5
BOYUIBE,consultas prenatales,repetidas,2021-01-01,0,0,3,0,7,2,3,0,0,0,15
BUENA VISTA,consultas prenatales,repetidas,2021-01-01,0,0,13,2,44,0,8,0,0,0,67
CABEZAS,consultas prenatales,repetidas,2021-01-01,0,0,12,5,50,2,8,0,0,0,77
CAIROMA,consultas prenatales,repetidas,2021-01-01,0,0,7,1,23,2,3,0,0,0,36
"CAIZA ""D""",consultas prenatales,repetidas,2021-01-01,0,0,14,1,32,3,4,0,0,0,54
CAJUATA,consultas prenatales,repetidas,2021-01-01,0,0,14,0,77,0,9,0,0,0,100
CALACOTO,consultas prenatales,repetidas,2021-01-01,0,0,2,0,4,1,0,1,0,0,8
