,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,1,0,1,0,0,0,0,0,2
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,1,0,13,0,3,0,0,0,17
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,12,0,2,0,0,0,14
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,3,1,0,0,0,0,4
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,0,0,1,0,0,0,1
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,1,0,3,0,1,1,0,0,6
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,1,0,1,0,0,1,0,0,3
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,1,1,0,0,0,0,2
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,3,0,3,0,1,0,0,0,7
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,2,0,2,0,0,0,0,0,4
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,2,0,6,0,0,0,0,0,8
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,1,0,1,0,0,0,0,0,2
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,4,0,1,0,0,0,5
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,2,0,0,0,0,0,2
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,1,0,0,0,1,0,0,0,0,0,2
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,1,0,5,0,0,0,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,1,0,3,0,1,0,0,0,5
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,0,1,0,0,0,0,1
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,4,0,1,0,0,0,5
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,1,0,0,0,0,0,0,0,0,0,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,2,0,7,0,4,1,0,0,14
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,2,1,6,0,1,1,0,0,11
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,0,0,1,0,0,0,1
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2021-01-01,0,0,1,0,2,0,0,0,0,0,3
