municipality,group,variable,month,TOTAL NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA  Grupo Edad: (CANTIDAD),TOTAL
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,6,6
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,2,2
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,51,51
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
COMANCHE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,4,4
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,20,20
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,2,2
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
HUMANATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,3,3
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,20,20
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,5,5
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,3,3
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,16,16
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,2,2
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,4,4
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,3,3
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,2,2
