municipality,group,variable,month,TOTAL 5.07 CONDÓN: USUARIAS(OS) NUEVAS (OS)  Grupo Edad: (CANTIDAD),TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,3,3
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,6,6
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,5,5
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,3,3
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,9,9
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,3,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,3,3
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,28,28
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,4,4
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,2,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,24,24
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,4,4
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,3,3
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,13,13
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,64,64
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,2,2
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,4,4
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,12,12
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,10,10
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,2,2
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,9,9
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,2,2
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,6,6
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,18,18
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,3,3
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
CHACARILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,9,9
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,3,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,10,10
CHIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,8,8
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,5,5
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,1,1
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,6,6
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon: usuarias(os) nuevas (os),2014-01-01,3,3
