municipality,group,variable,month,TOTAL 5.16 AQV MASCULINO  Grupo Edad: (CANTIDAD),TOTAL
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-01-01,4,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-01-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-01-01,9,9
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-01-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-01-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-02-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-02-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-02-01,3,3
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-02-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-02-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-03-01,6,6
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-03-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-03-01,6,6
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-04-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-04-01,7,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-04-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-05-01,2,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-05-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-05-01,7,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-05-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-05-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-06-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-06-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-06-01,22,22
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-06-01,0,0
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-07-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-07-01,3,3
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-07-01,5,5
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-07-01,2,2
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-07-01,2,2
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-07-01,0,0
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-08-01,2,2
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-08-01,0,0
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-08-01,5,5
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-08-01,4,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-08-01,12,12
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-08-01,18,18
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-08-01,0,0
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-08-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-09-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-09-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-09-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-09-01,7,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-09-01,6,6
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-09-01,4,4
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-09-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-10-01,7,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-10-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-10-01,6,6
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-10-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-10-01,100,100
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-10-01,1,1
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-10-01,6,6
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-11-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-11-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-11-01,6,6
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-11-01,4,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-12-01,3,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-12-01,1,1
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-12-01,1,1
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-12-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2014-12-01,1,1
