municipality,group,variable,month,TOTAL 5.15 AQV FEMENINO  Grupo Edad: (CANTIDAD),TOTAL
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,4,4
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,6,6
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,5,5
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,7,7
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,4,4
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,31,31
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,59,59
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,20,20
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,25,25
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,4,4
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,15,15
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,8,8
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,6,6
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,8,8
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,13,13
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,9,9
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,8,8
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,4,4
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,70,70
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,54,54
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,36,36
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,3,3
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,1,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-01-01,2,2
