,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,1,0,0,1,1,2
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,1,0,0,1,1,2
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,1,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,0,6,0,6,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,4,0,0,1,4,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,1,0,0,1,1,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,3,0,0,1,3,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,2,0,1,2,3,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,1,0,2,0,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
