,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,0,3,1,5,1,6
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,10,15,10,10,20,25,45
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,16,10,5,4,21,14,35
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,7,15,12,22,19,41
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,7,0,0,7,7,14
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,5,0,0,0,5,0,5
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,0,2,1,2,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,7,1,6,4,13,17
APOLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,12,13,9,9,21,22,43
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,2,3,2,3,5
ARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,5,0,2,3,7,10
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,20,20,6,7,26,27,53
ARQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,5,2,8,5,13,18
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,29,18,2,4,31,22,53
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,0,4,1,4,5
AYATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,1,2,2,4,3,7
