,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,3,1,0,1,3,2,5
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,2,3,0,2,2,5,7
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,1,0,1,0,2,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,0,0,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,1,0,0,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,9,14,1,2,10,16,26
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,0,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,0,0,1,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,0,2,3,2,3,5
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,1,8,7,9,8,17
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,1,0,0,1,1,2
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,5,10,0,0,5,10,15
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,0,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,9,10,1,4,10,14,24
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,3,3,0,1,3,4,7
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,6,9,0,0,6,9,15
