,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,0,3,1,5,1,6
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,10,17,11,10,21,27,48
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,15,10,5,4,20,14,34
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,7,8,15,12,22,20,42
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,1,0,1,3,2,5
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,7,7,0,0,7,7,14
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,5,1,0,0,5,1,6
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,0,2,1,2,3
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,6,2,7,3,13,16
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,12,13,9,9,21,22,43
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,2,3,2,3,5
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,5,0,2,3,7,10
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,19,16,6,6,25,22,47
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,5,7,3,14,8,21,29
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,31,22,3,5,34,27,61
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,5,0,1,3,6,9
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,0,3,1,3,4
