,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,20,13,0,0,20,13,33
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,0,0,2,4,2,4,6
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,0,0,2,7,2,7,9
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,9,10,24,28,33,38,71
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,0,1,0,1,0,2,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,1,0,0,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,3,2,4,3,7,5,12
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,4,3,0,0,4,3,7
CABEZAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,12,19,4,8,16,27,43
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,1,2,0,0,1,2,3
CAJUATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,1,1,0,0,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,9,8,13,14,22,22,44
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,14,11,4,2,18,13,31
CARANAVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,1,2,0,0,1,2,3
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2018-01-01,3,2,0,1,3,3,6
