,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,2,2,0,0,2,2,4
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,0,0,1,0,1,0,1
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,0,0,1,1,1,1,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,0,0,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,1,4,0,0,1,4,5
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,0,0,0,1,0,1,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,1,0,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,1,0,0,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,1,3,0,0,1,3,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2018-01-01,8,8,3,1,11,9,20
