,group,variable,month,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,5,0,0,0,5,5
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,5,1,0,0,5,1,6
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,2,7,0,0,2,7,9
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,5,4,0,0,5,4,9
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,7,5,0,0,7,5,12
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,16,16,0,0,16,16,32
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,20,29,0,0,20,29,49
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,33,28,0,0,33,28,61
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,27,21,0,0,27,21,48
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,17,3,0,0,17,3,20
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,6,0,0,0,6,0,6
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,18,18,0,0,18,18,36
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,9,10,0,0,9,10,19
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,6,2,0,0,6,2,8
CHIMORE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,63,29,0,0,63,29,92
COMARAPA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,1,0,0,0,1,1
