,group,variable,month,L 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,L 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,L 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,L 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,4,2,0,0,4,2,6
COMARAPA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,0,1,0,0,0,1,1
EL TORNO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,1,0,0,0,1,0,1
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,19,7,0,0,19,7,26
MAGDALENA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,0,1,0,0,0,1,1
POROMA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,1,0,0,0,1,0,1
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,6,4,0,0,6,4,10
SANTA CRUZ DE LA SIERRA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,0,0,0,0,0,0,0
TORO TORO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,7,2,0,0,7,2,9
VILLA SERRANO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,0,1,0,0,0,1,1
YACUIBA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-01-01,1,0,0,0,1,0,1
AZURDUY,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,4,0,0,0,4,0,4
