,group,variable,month,L 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,L 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,L 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,L 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,3,1,0,0,3,1,4
BAURES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,4,2,0,0,4,2,6
BUENA VISTA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,6,3,0,0,6,3,9
CABEZAS,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,6,0,0,0,6,0,6
CARAPARI,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,5,0,0,0,5,0,5
COMARAPA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,0,1,0,0,0,1,1
EL TORNO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,4,5,0,0,4,5,9
EUREKA (SANTOS MERCADO),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,2,2,0,0,2,2,4
GUAYARAMERIN,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,48,33,0,1,48,34,82
INGAVI (HUMAITA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,1,0,0,0,1,0,1
IXIAMAS,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,19,7,0,0,19,7,26
MAGDALENA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,8,1,1,0,9,1,10
PADILLA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,2,0,0,0,2,0,2
POROMA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-01-01,2,1,0,0,2,1,3
