,group,variable,month,L 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,L 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,L 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,L 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,l 21.2       total de casos confirmados,2012-01-01,3,1,0,0,3,1,4
BAURES,malaria,l 21.2       total de casos confirmados,2012-01-01,4,2,0,0,4,2,6
BELLA FLOR,malaria,l 21.2       total de casos confirmados,2012-01-01,8,0,0,0,8,0,8
BUENA VISTA,malaria,l 21.2       total de casos confirmados,2012-01-01,6,3,0,0,6,3,9
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-01-01,6,0,0,0,6,0,6
CARAPARI,malaria,l 21.2       total de casos confirmados,2012-01-01,1,0,0,0,1,0,1
CHIMORE,malaria,l 21.2       total de casos confirmados,2012-01-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.2       total de casos confirmados,2012-01-01,8,0,0,0,8,0,8
COMARAPA,malaria,l 21.2       total de casos confirmados,2012-01-01,0,1,0,0,0,1,1
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-01-01,4,5,0,0,4,5,9
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-01-01,2,2,0,0,2,2,4
FILADELFIA,malaria,l 21.2       total de casos confirmados,2012-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-01-01,48,33,0,1,48,34,82
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-01-01,1,0,0,0,1,0,1
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-01-01,19,7,0,0,19,7,26
MAGDALENA,malaria,l 21.2       total de casos confirmados,2012-01-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-01-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-01-01,8,1,1,0,9,1,10
PADILLA,malaria,l 21.2       total de casos confirmados,2012-01-01,2,0,0,0,2,0,2
