,group,variable,month,L 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,L 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,L 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,L 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
APOLO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,2,1,0,0,2,1,3
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,4,3,0,0,4,3,7
BUENA VISTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,0,3,0,0,0,3,3
COBIJA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,5,0,0,0,5,0,5
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,4,1,0,0,4,1,5
MONTEAGUDO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,1,0,0,0,1,0,1
POROMA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,2,0,0,0,2,0,2
PORONGO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,2,0,0,0,2,0,2
POSTRER VALLE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,6,0,0,0,6,0,6
PUERTO SILES,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,0,1,0,0,0,1,1
SAIPINA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,0,0,0,0,0,0,0
TORO TORO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,7,2,0,0,7,2,9
VILA VILA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-01-01,2,0,0,0,2,0,2
AIQUILE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,7,6,0,0,7,6,13
APOLO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,3,5,0,0,3,5,8
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,0,1,0,0,0,1,1
