,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2019-01-01,6,2,0,0,6,2,8
ACHACACHI,consulta externa,menores de 6 meses,2019-01-01,73,89,3,3,76,92,168
ACHOCALLA,consulta externa,menores de 6 meses,2019-01-01,31,30,9,8,40,38,78
AIQUILE,consulta externa,menores de 6 meses,2019-01-01,36,47,0,4,36,51,87
ALALAY,consulta externa,menores de 6 meses,2019-01-01,7,2,0,0,7,2,9
ALCALA,consulta externa,menores de 6 meses,2019-01-01,8,5,3,2,11,7,18
ALTO BENI,consulta externa,menores de 6 meses,2019-01-01,37,33,1,1,38,34,72
ANCORAIMES,consulta externa,menores de 6 meses,2019-01-01,10,8,1,0,11,8,19
ANDAMARCA,consulta externa,menores de 6 meses,2019-01-01,5,4,0,0,5,4,9
ANTEQUERA,consulta externa,menores de 6 meses,2019-01-01,3,3,0,1,3,4,7
ANZALDO,consulta externa,menores de 6 meses,2019-01-01,14,10,7,6,21,16,37
APOLO,consulta externa,menores de 6 meses,2019-01-01,54,26,29,19,83,45,128
ARAMPAMPA,consulta externa,menores de 6 meses,2019-01-01,4,1,0,0,4,1,5
ARANI,consulta externa,menores de 6 meses,2019-01-01,18,6,1,1,19,7,26
ARBIETO,consulta externa,menores de 6 meses,2019-01-01,58,51,4,1,62,52,114
ARQUE,consulta externa,menores de 6 meses,2019-01-01,32,20,0,0,32,20,52
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2019-01-01,89,67,5,6,94,73,167
ATOCHA,consulta externa,menores de 6 meses,2019-01-01,41,34,12,6,53,40,93
AUCAPATA,consulta externa,menores de 6 meses,2019-01-01,6,7,0,0,6,7,13
AYATA,consulta externa,menores de 6 meses,2019-01-01,9,13,0,0,9,13,22
AYO AYO,consulta externa,menores de 6 meses,2019-01-01,8,8,5,2,13,10,23
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2019-01-01,63,38,0,2,63,40,103
AZURDUY,consulta externa,menores de 6 meses,2019-01-01,41,31,1,0,42,31,73
