,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2019-01-01,4,24,0,1,4,25,29
ACHACACHI,consulta externa,personas de 40 a 49 anos,2019-01-01,66,102,10,19,76,121,197
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2019-01-01,6,42,0,1,6,43,49
AIQUILE,consulta externa,personas de 40 a 49 anos,2019-01-01,61,138,10,40,71,178,249
ALALAY,consulta externa,personas de 40 a 49 anos,2019-01-01,2,4,0,0,2,4,6
ALCALA,consulta externa,personas de 40 a 49 anos,2019-01-01,30,42,3,2,33,44,77
ALTO BENI,consulta externa,personas de 40 a 49 anos,2019-01-01,35,45,6,2,41,47,88
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2019-01-01,19,24,1,3,20,27,47
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2019-01-01,16,10,1,1,17,11,28
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2019-01-01,6,2,0,0,6,2,8
ANZALDO,consulta externa,personas de 40 a 49 anos,2019-01-01,17,44,0,5,17,49,66
APOLO,consulta externa,personas de 40 a 49 anos,2019-01-01,34,42,0,8,34,50,84
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2019-01-01,1,7,0,0,1,7,8
ARANI,consulta externa,personas de 40 a 49 anos,2019-01-01,2,5,0,2,2,7,9
ARBIETO,consulta externa,personas de 40 a 49 anos,2019-01-01,13,22,0,3,13,25,38
ARQUE,consulta externa,personas de 40 a 49 anos,2019-01-01,11,23,1,0,12,23,35
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2019-01-01,64,68,3,5,67,73,140
ATOCHA,consulta externa,personas de 40 a 49 anos,2019-01-01,330,254,139,89,469,343,812
AUCAPATA,consulta externa,personas de 40 a 49 anos,2019-01-01,26,12,7,0,33,12,45
AYATA,consulta externa,personas de 40 a 49 anos,2019-01-01,27,44,3,3,30,47,77
AYO AYO,consulta externa,personas de 40 a 49 anos,2019-01-01,7,16,0,1,7,17,24
