,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2019-01-01,7,6,0,0,7,6,13
ACHACACHI,consulta externa,personas de 10 a 14 anos,2019-01-01,34,45,4,3,38,48,86
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2019-01-01,7,15,1,0,8,15,23
AIQUILE,consulta externa,personas de 10 a 14 anos,2019-01-01,37,42,4,11,41,53,94
ALALAY,consulta externa,personas de 10 a 14 anos,2019-01-01,4,4,0,2,4,6,10
ALCALA,consulta externa,personas de 10 a 14 anos,2019-01-01,12,14,0,1,12,15,27
ALTO BENI,consulta externa,personas de 10 a 14 anos,2019-01-01,26,21,0,0,26,21,47
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2019-01-01,7,7,2,0,9,7,16
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2019-01-01,10,14,1,1,11,15,26
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2019-01-01,3,10,0,0,3,10,13
ANZALDO,consulta externa,personas de 10 a 14 anos,2019-01-01,12,16,2,2,14,18,32
APOLO,consulta externa,personas de 10 a 14 anos,2019-01-01,14,30,2,5,16,35,51
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2019-01-01,3,0,0,0,3,0,3
ARANI,consulta externa,personas de 10 a 14 anos,2019-01-01,9,8,3,2,12,10,22
ARBIETO,consulta externa,personas de 10 a 14 anos,2019-01-01,24,20,0,0,24,20,44
ARQUE,consulta externa,personas de 10 a 14 anos,2019-01-01,11,6,0,0,11,6,17
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2019-01-01,42,49,3,1,45,50,95
ATOCHA,consulta externa,personas de 10 a 14 anos,2019-01-01,64,75,8,13,72,88,160
AUCAPATA,consulta externa,personas de 10 a 14 anos,2019-01-01,4,8,0,0,4,8,12
AYATA,consulta externa,personas de 10 a 14 anos,2019-01-01,7,12,0,0,7,12,19
AYO AYO,consulta externa,personas de 10 a 14 anos,2019-01-01,7,8,0,0,7,8,15
