,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2019-01-01,6,10,0,0,6,10,16
ACHACACHI,consulta externa,personas de 5 a 9 anos,2019-01-01,51,38,9,4,60,42,102
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2019-01-01,24,28,0,0,24,28,52
AIQUILE,consulta externa,personas de 5 a 9 anos,2019-01-01,36,51,2,3,38,54,92
ALALAY,consulta externa,personas de 5 a 9 anos,2019-01-01,0,4,0,0,0,4,4
ALCALA,consulta externa,personas de 5 a 9 anos,2019-01-01,18,18,1,7,19,25,44
ALTO BENI,consulta externa,personas de 5 a 9 anos,2019-01-01,23,23,0,0,23,23,46
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2019-01-01,5,10,1,0,6,10,16
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2019-01-01,10,6,0,1,10,7,17
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2019-01-01,11,4,0,0,11,4,15
ANZALDO,consulta externa,personas de 5 a 9 anos,2019-01-01,11,22,2,2,13,24,37
APOLO,consulta externa,personas de 5 a 9 anos,2019-01-01,33,24,2,2,35,26,61
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2019-01-01,5,1,0,0,5,1,6
ARANI,consulta externa,personas de 5 a 9 anos,2019-01-01,16,15,7,8,23,23,46
ARBIETO,consulta externa,personas de 5 a 9 anos,2019-01-01,53,40,2,0,55,40,95
ARQUE,consulta externa,personas de 5 a 9 anos,2019-01-01,8,7,0,0,8,7,15
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2019-01-01,55,54,2,2,57,56,113
ATOCHA,consulta externa,personas de 5 a 9 anos,2019-01-01,77,85,5,9,82,94,176
AUCAPATA,consulta externa,personas de 5 a 9 anos,2019-01-01,4,7,0,0,4,7,11
AYATA,consulta externa,personas de 5 a 9 anos,2019-01-01,22,18,3,0,25,18,43
AYO AYO,consulta externa,personas de 5 a 9 anos,2019-01-01,11,12,0,0,11,12,23
