,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2019-01-01,14,34,0,1,14,35,49
ACHACACHI,consulta externa,personas de 20 a 39 anos,2019-01-01,163,350,28,74,191,424,615
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2019-01-01,36,160,1,3,37,163,200
AIQUILE,consulta externa,personas de 20 a 39 anos,2019-01-01,112,282,28,110,140,392,532
ALALAY,consulta externa,personas de 20 a 39 anos,2019-01-01,8,15,1,2,9,17,26
ALCALA,consulta externa,personas de 20 a 39 anos,2019-01-01,50,114,4,6,54,120,174
ALTO BENI,consulta externa,personas de 20 a 39 anos,2019-01-01,68,149,1,4,69,153,222
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2019-01-01,32,80,0,3,32,83,115
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2019-01-01,45,37,3,0,48,37,85
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2019-01-01,19,21,1,8,20,29,49
ANZALDO,consulta externa,personas de 20 a 39 anos,2019-01-01,44,90,8,13,52,103,155
APOLO,consulta externa,personas de 20 a 39 anos,2019-01-01,52,190,3,102,55,292,347
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2019-01-01,12,25,0,0,12,25,37
ARANI,consulta externa,personas de 20 a 39 anos,2019-01-01,18,57,15,41,33,98,131
ARBIETO,consulta externa,personas de 20 a 39 anos,2019-01-01,58,216,4,12,62,228,290
ARQUE,consulta externa,personas de 20 a 39 anos,2019-01-01,23,82,0,0,23,82,105
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2019-01-01,84,182,3,4,87,186,273
ATOCHA,consulta externa,personas de 20 a 39 anos,2019-01-01,426,549,129,87,555,636,1191
AUCAPATA,consulta externa,personas de 20 a 39 anos,2019-01-01,42,71,0,4,42,75,117
AYATA,consulta externa,personas de 20 a 39 anos,2019-01-01,28,92,3,0,31,92,123
AYO AYO,consulta externa,personas de 20 a 39 anos,2019-01-01,32,68,1,2,33,70,103
