,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,2,0,0,7,2,9
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,74,61,1,12,75,73,148
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,23,19,7,3,30,22,52
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,42,37,9,8,51,45,96
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,6,1,0,1,6,2,8
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,8,0,0,7,8,15
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,66,44,1,0,67,44,111
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,13,10,3,1,16,11,27
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,18,10,0,1,18,11,29
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,3,3,0,0,3,3,6
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,16,15,1,2,17,17,34
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,40,52,25,31,65,83,148
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,3,2,0,0,3,2,5
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,20,17,3,4,23,21,44
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,81,70,1,4,82,74,156
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,29,19,0,1,29,20,49
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,109,79,11,5,120,84,204
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,29,46,1,5,30,51,81
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,10,24,3,1,13,25,38
