,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2019-01-01,21,21,0,0,21,21,42
ACHACACHI,consulta externa,personas de 50 a 59 anos,2019-01-01,64,107,18,16,82,123,205
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2019-01-01,7,21,1,0,8,21,29
AIQUILE,consulta externa,personas de 50 a 59 anos,2019-01-01,68,106,20,42,88,148,236
ALALAY,consulta externa,personas de 50 a 59 anos,2019-01-01,1,2,0,0,1,2,3
ALCALA,consulta externa,personas de 50 a 59 anos,2019-01-01,35,50,1,4,36,54,90
ALTO BENI,consulta externa,personas de 50 a 59 anos,2019-01-01,38,19,1,4,39,23,62
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2019-01-01,14,29,3,2,17,31,48
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2019-01-01,7,19,0,3,7,22,29
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2019-01-01,3,2,1,0,4,2,6
ANZALDO,consulta externa,personas de 50 a 59 anos,2019-01-01,27,45,4,9,31,54,85
APOLO,consulta externa,personas de 50 a 59 anos,2019-01-01,40,41,5,3,45,44,89
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2019-01-01,8,5,0,0,8,5,13
ARANI,consulta externa,personas de 50 a 59 anos,2019-01-01,6,10,7,4,13,14,27
ARBIETO,consulta externa,personas de 50 a 59 anos,2019-01-01,19,35,2,7,21,42,63
ARQUE,consulta externa,personas de 50 a 59 anos,2019-01-01,6,19,1,0,7,19,26
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2019-01-01,34,61,2,5,36,66,102
ATOCHA,consulta externa,personas de 50 a 59 anos,2019-01-01,177,116,66,63,243,179,422
AUCAPATA,consulta externa,personas de 50 a 59 anos,2019-01-01,22,15,3,0,25,15,40
AYATA,consulta externa,personas de 50 a 59 anos,2019-01-01,20,37,2,2,22,39,61
AYO AYO,consulta externa,personas de 50 a 59 anos,2019-01-01,28,24,0,1,28,25,53
