,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2019-01-01,297,369,3,2,300,371,671
ACHACACHI,consulta externa,personas de 60 anos y mas,2019-01-01,734,873,316,299,1050,1172,2222
ACHOCALLA,consulta externa,personas de 60 anos y mas,2019-01-01,252,288,6,4,258,292,550
AIQUILE,consulta externa,personas de 60 anos y mas,2019-01-01,381,458,485,596,866,1054,1920
ALALAY,consulta externa,personas de 60 anos y mas,2019-01-01,83,108,14,15,97,123,220
ALCALA,consulta externa,personas de 60 anos y mas,2019-01-01,103,151,7,6,110,157,267
ALTO BENI,consulta externa,personas de 60 anos y mas,2019-01-01,361,206,28,21,389,227,616
ANCORAIMES,consulta externa,personas de 60 anos y mas,2019-01-01,355,386,122,149,477,535,1012
ANDAMARCA,consulta externa,personas de 60 anos y mas,2019-01-01,229,284,6,15,235,299,534
ANTEQUERA,consulta externa,personas de 60 anos y mas,2019-01-01,37,55,3,4,40,59,99
ANZALDO,consulta externa,personas de 60 anos y mas,2019-01-01,332,481,53,53,385,534,919
APOLO,consulta externa,personas de 60 anos y mas,2019-01-01,344,275,112,103,456,378,834
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2019-01-01,125,163,1,3,126,166,292
ARANI,consulta externa,personas de 60 anos y mas,2019-01-01,153,297,199,254,352,551,903
ARBIETO,consulta externa,personas de 60 anos y mas,2019-01-01,465,773,48,92,513,865,1378
ARQUE,consulta externa,personas de 60 anos y mas,2019-01-01,299,444,52,54,351,498,849
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2019-01-01,489,377,38,38,527,415,942
ATOCHA,consulta externa,personas de 60 anos y mas,2019-01-01,210,251,112,99,322,350,672
AUCAPATA,consulta externa,personas de 60 anos y mas,2019-01-01,180,147,12,2,192,149,341
AYATA,consulta externa,personas de 60 anos y mas,2019-01-01,326,386,18,27,344,413,757
AYO AYO,consulta externa,personas de 60 anos y mas,2019-01-01,272,304,75,77,347,381,728
