,group,variable,month,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS < 15,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 15 - 19,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 20 - 34,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 35 - 49,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,3,0,1,4
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,0,1,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,1,3,1,1,6
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,1,0,1,1,3
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,1,1,1,3
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,1,0,0,1
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,1,1,0,1,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,0,1,0,1
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,3,1,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,10,130,95,18,253
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,1,0,0,0,1
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,2,0,0,2
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,0,1,0,1
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,1,0,0,1
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con resultados de pap positivos,2020-01-01,0,0,4,0,0,4
