,group,variable,month,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS < 15,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 15 - 19,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 20 - 34,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 35 - 49,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,1,1,0,2
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,5,1,0,6
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,3,2,0,5
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,0,1,0,1
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,3,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,0,1,0,1
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,2,0,0,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,1,0,0,1
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,6,1,0,7
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,1,0,0,1
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,1,0,0,1
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,0,1,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,3,1,0,4
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,1,3,0,0,4
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,1,0,0,1
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,2,1,0,0,3
CHIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",implante subdermico: usuarias continuas,2020-01-01,0,0,0,1,0,1
