,group,variable,month,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS < 15,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 15 - 19,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 20 - 34,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 35 - 49,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-01-01,0,0,0,0,4,4
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-01-01,0,0,0,1,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-01-01,0,0,0,3,0,3
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-01-01,0,0,1,5,0,6
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-01-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-01-01,0,0,1,30,40,71
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-01-01,0,0,9,49,41,99
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-02-01,0,1,3,4,6,14
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-02-01,0,0,1,2,1,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-02-01,0,0,1,6,0,7
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-02-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-02-01,0,0,0,40,15,55
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-02-01,0,0,0,18,32,50
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-02-01,0,0,0,1,0,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-02-01,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2020-03-01,0,0,2,2,2,6
