,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-01-01,0,0,8,2,0,10
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-01-01,0,0,3,10,0,13
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-01-01,0,0,1,8,0,9
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-01-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-01-01,0,1,0,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-02-01,0,0,3,1,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-02-01,0,0,4,0,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-02-01,0,0,0,2,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-02-01,0,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-02-01,0,0,2,3,0,5
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-02-01,0,0,6,10,0,16
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-03-01,0,0,0,2,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-03-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-03-01,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-03-01,0,0,3,7,0,10
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-03-01,0,0,6,0,0,6
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-04-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-04-01,0,0,0,2,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-04-01,0,0,0,1,0,1
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-04-01,0,0,3,3,0,6
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2020-04-01,0,0,2,0,0,2
