,group,variable,month,AQV FEMENINO < 15,AQV FEMENINO 15 - 19,AQV FEMENINO 20 - 34,AQV FEMENINO 35 - 49,AQV FEMENINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,4,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,0,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,6,0,0,6
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,1,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,13,8,0,21
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,1,50,32,0,83
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,2,1,0,3
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,0,1,0,1
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,6,1,0,7
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,21,10,0,31
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,4,5,0,9
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,2,1,0,3
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,4,0,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,1,13,9,0,23
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,3,2,0,5
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,4,1,0,5
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,3,3,0,6
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,5,0,0,5
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,0,1,0,1
