municipality,group,variable,month,Nro de Primeras visitas Familares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,81,81
ACHACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,17,17
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,10,10
ALALAY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,73,73
ALCALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,94,94
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,62,62
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,66,66
APOLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,19,19
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,71,71
ARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,77,77
ARBIETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,76,76
ARQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,4,4
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,138,138
ATOCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,189,189
AUCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,3,3
AYATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,11,11
AYO AYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,198,198
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,93,93
AZURDUY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,326,326
BAURES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,177,177
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,30,30
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,52,52
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,72,72
BERMEJO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,11,11
BETANZOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,324,324
BOLIVAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,9,9
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,33,33
BOYUIBE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,574,574
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,131,131
CABEZAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,74,74
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,179,179
CAJUATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,16,16
CAMARGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,250,250
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,83,83
