municipality,group,variable,month,9.26 Nro de cajas de evidencia utilizadas,TOTAL
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-01-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-02-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-03-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-03-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-03-01,2,2
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-03-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-04-01,1,1
EL VILLAR,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-04-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-04-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-05-01,1,1
ORURO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-05-01,1,1
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-05-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-06-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-06-01,1,1
PUNA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-06-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-06-01,6,6
UYUNI,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-06-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-06-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-07-01,1,1
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-07-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-08-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-08-01,1,1
SORACACHI,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-08-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-09-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-09-01,2,2
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-10-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-10-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-10-01,16,16
PUNA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-11-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-11-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-12-01,1,1
PUNA,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-12-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-12-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de cajas de evidencia utilizadas,2024-12-01,1,1
