municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
ACHOCALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
BAURES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,7,7
CLIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,16,16
COTOCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,2,2
CURVA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,49,49
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,1,1
HUANUNI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2024-01-01,7,7
