municipality,group,variable,month,9.25 Nro de Terceras visitas Familiares,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,10,10
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,20,20
CARACOLLO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,107,107
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,7,7
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,146,146
CHAYANTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,6,6
CHUMA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,3,3
CKOCHAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,6,6
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,27,27
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,9,9
CONCEPCION,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,15,15
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,15,15
EL ALTO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,45,45
GIA-TIM,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,3,3
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,55,55
MIZQUE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,4,4
ORURO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,6,6
PADCAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
PORCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,136,136
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,16,16
PUNA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,39,39
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,4,4
RIBERALTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,97,97
SACABA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,75,75
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,340,340
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,66,66
